record,ms,mode,target_left,target_right,speed_left_mm_s,speed_right_mm_s,pwm_left,pwm_right,raw_left,raw_right,total_left,total_right,enable
D,34695,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34705,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34715,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34725,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34735,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34745,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34755,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34765,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34775,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34785,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34795,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34805,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34815,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34825,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34835,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34845,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34855,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34865,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34875,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34885,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34895,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34905,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34915,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34925,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34935,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34945,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34955,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34965,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34975,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34985,0,0,0,0,0,0,0,0,0,-1,-11,1
D,34995,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35005,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35015,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35025,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35035,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35045,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35055,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35065,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35075,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35085,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35095,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35105,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35115,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35125,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35135,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35145,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35155,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35165,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35175,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35185,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35195,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35205,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35215,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35225,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35235,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35245,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35255,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35265,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35275,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35285,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35295,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35305,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35315,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35325,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35335,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35345,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35355,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35365,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35375,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35385,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35395,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35405,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35415,0,0,0,0,0,0,0,0,0,-1,-11,1
