record,ms,mode,target_left,target_right,speed_left_mm_s,speed_right_mm_s,pwm_left,pwm_right,raw_left,raw_right,total_left,total_right,enable
D,31085,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31095,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31105,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31115,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31125,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31135,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31145,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31155,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31165,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31175,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31185,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31195,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31205,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31215,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31225,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31235,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31245,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31255,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31265,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31275,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31285,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31295,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31305,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31315,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31325,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31335,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31345,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31355,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31365,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31375,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31385,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31395,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31405,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31415,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31425,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31435,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31445,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31455,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31465,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31475,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31485,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31495,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31505,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31515,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31525,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31535,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31545,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31555,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31565,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31575,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31585,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31595,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31605,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31615,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31625,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31635,0,0,0,0,0,0,0,0,0,-113,2361,1
D,31645,0,0,0,0,0,0,0,0,0,-113,2361,1
