record,ms,state,mode,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_acc,pitch_dmp,pitch_comp,pitch_kalman,dmp_hz,dt_ms,status
A,31888,STATIC,ALL,468,15286,3212,28,34,-72,0.029,0.933,0.196,1.707,2.073,-4.390,-1.716,0.164,-1.821,-1.822,12,19,DMP_WAIT
A,31906,STATIC,ALL,484,15324,3206,28,33,-73,0.030,0.935,0.196,1.707,2.012,-4.451,-1.771,0.163,-1.819,-1.819,12,18,OK
A,31930,STATIC,ALL,506,15266,3190,37,32,-67,0.031,0.932,0.195,2.256,1.951,-4.085,-1.858,0.163,-1.819,-1.820,12,24,DMP_WAIT
A,31948,STATIC,ALL,516,15362,3238,44,31,-66,0.031,0.938,0.198,2.683,1.890,-4.024,-1.882,0.163,-1.821,-1.822,12,18,DMP_WAIT
A,31967,STATIC,ALL,516,15362,3238,44,31,-66,0.031,0.938,0.198,2.683,1.890,-4.024,-1.882,0.163,-1.823,-1.824,12,19,DMP_WAIT
A,31986,STATIC,ALL,498,15354,3152,41,30,-67,0.030,0.937,0.192,2.500,1.829,-4.085,-1.820,0.163,-1.825,-1.826,12,19,DMP_WAIT
A,32006,STATIC,ALL,512,15344,3228,35,32,-67,0.031,0.937,0.197,2.134,1.951,-4.085,-1.870,0.164,-1.825,-1.827,12,20,OK
A,32029,STATIC,ALL,520,15268,3178,24,31,-73,0.032,0.932,0.194,1.463,1.890,-4.451,-1.910,0.164,-1.828,-1.830,12,23,DMP_WAIT
A,32048,STATIC,ALL,520,15268,3178,24,31,-73,0.032,0.932,0.194,1.463,1.890,-4.451,-1.910,0.164,-1.830,-1.833,12,19,DMP_WAIT
A,32066,STATIC,ALL,512,15200,3244,25,34,-72,0.031,0.928,0.198,1.524,2.073,-4.390,-1.887,0.164,-1.829,-1.831,12,18,OK
A,32090,STATIC,ALL,484,15306,3152,38,31,-69,0.030,0.934,0.192,2.317,1.890,-4.207,-1.774,0.164,-1.829,-1.831,12,24,DMP_WAIT
A,32110,STATIC,ALL,454,15366,3228,45,30,-65,0.028,0.938,0.197,2.744,1.829,-3.963,-1.656,0.164,-1.827,-1.830,12,20,DMP_WAIT
A,32128,STATIC,ALL,490,15392,3250,42,31,-65,0.030,0.939,0.198,2.561,1.890,-3.963,-1.784,0.164,-1.827,-1.830,12,18,DMP_WAIT
A,32147,STATIC,ALL,490,15392,3250,42,31,-65,0.030,0.939,0.198,2.561,1.890,-3.963,-1.784,0.165,-1.827,-1.830,12,19,OK
A,32171,STATIC,ALL,484,15332,3146,30,32,-70,0.030,0.936,0.192,1.829,1.951,-4.268,-1.771,0.165,-1.825,-1.828,12,24,DMP_WAIT
A,32189,STATIC,ALL,490,15338,3188,27,34,-72,0.030,0.936,0.195,1.646,2.073,-4.390,-1.792,0.165,-1.822,-1.825,12,18,DMP_WAIT
A,32209,STATIC,ALL,490,15302,3232,30,31,-73,0.030,0.934,0.197,1.829,1.890,-4.451,-1.795,0.165,-1.822,-1.825,12,20,DMP_WAIT
A,32228,STATIC,ALL,490,15302,3232,30,31,-73,0.030,0.934,0.197,1.829,1.890,-4.451,-1.795,0.164,-1.823,-1.825,12,19,OK
A,32251,STATIC,ALL,520,15394,3342,34,31,-68,0.032,0.940,0.204,2.073,1.890,-4.146,-1.891,0.164,-1.825,-1.828,12,23,DMP_WAIT
A,32270,STATIC,ALL,510,15242,3276,33,30,-69,0.031,0.930,0.200,2.012,1.829,-4.207,-1.874,0.164,-1.828,-1.831,12,19,DMP_WAIT
A,32288,STATIC,ALL,444,15248,3196,36,35,-69,0.027,0.931,0.195,2.195,2.134,-4.207,-1.632,0.164,-1.820,-1.823,12,18,DMP_WAIT
A,32309,STATIC,ALL,474,15396,3212,40,33,-69,0.029,0.940,0.196,2.439,2.012,-4.207,-1.726,0.163,-1.817,-1.819,12,21,OK
A,32333,STATIC,ALL,518,15280,3142,37,30,-68,0.032,0.933,0.192,2.256,1.829,-4.146,-1.902,0.163,-1.821,-1.824,12,24,DMP_WAIT
A,32351,STATIC,ALL,490,15314,3262,37,32,-66,0.030,0.935,0.199,2.256,1.951,-4.024,-1.792,0.163,-1.820,-1.823,12,18,DMP_WAIT
A,32370,STATIC,ALL,548,15364,3278,35,30,-68,0.033,0.938,0.200,2.134,1.829,-4.146,-1.998,0.163,-1.825,-1.828,12,19,DMP_WAIT
A,32388,STATIC,ALL,566,15318,3144,31,30,-70,0.035,0.935,0.192,1.890,1.829,-4.268,-2.073,0.165,-1.832,-1.836,12,18,OK
A,32413,STATIC,ALL,492,15344,3178,31,34,-69,0.030,0.937,0.194,1.890,2.073,-4.207,-1.798,0.165,-1.828,-1.832,12,25,DMP_WAIT
A,32431,STATIC,ALL,476,15428,3220,32,33,-72,0.029,0.942,0.197,1.951,2.012,-4.390,-1.730,0.165,-1.825,-1.828,12,18,DMP_WAIT
A,32450,STATIC,ALL,474,15306,3152,29,32,-73,0.029,0.934,0.192,1.768,1.951,-4.451,-1.737,0.165,-1.822,-1.826,12,19,DMP_WAIT
A,32469,STATIC,ALL,426,15244,3156,31,34,-70,0.026,0.930,0.193,1.890,2.073,-4.268,-1.568,0.163,-1.815,-1.818,12,19,OK
A,32492,STATIC,ALL,438,15356,3236,35,31,-69,0.027,0.937,0.198,2.134,1.890,-4.207,-1.599,0.163,-1.811,-1.814,12,23,DMP_WAIT
A,32519,STATIC,ALL,512,15322,3178,37,30,-70,0.031,0.935,0.194,2.256,1.829,-4.268,-1.874,0.163,-1.815,-1.818,12,27,DMP_WAIT
A,32537,STATIC,ALL,474,15298,3136,39,33,-67,0.029,0.934,0.191,2.378,2.012,-4.085,-1.739,0.163,-1.812,-1.815,12,18,DMP_WAIT
A,32556,STATIC,ALL,498,15372,3260,39,30,-66,0.030,0.938,0.199,2.378,1.829,-4.024,-1.815,0.162,-1.814,-1.817,12,19,OK
A,32579,STATIC,ALL,514,15348,3206,37,29,-67,0.031,0.937,0.196,2.256,1.768,-4.085,-1.878,0.162,-1.819,-1.822,12,23,DMP_WAIT
A,32598,STATIC,ALL,582,15346,3210,33,31,-67,0.036,0.937,0.196,2.012,1.890,-4.085,-2.126,0.162,-1.826,-1.829,12,19,DMP_WAIT
A,32616,STATIC,ALL,542,15264,3174,30,32,-71,0.033,0.932,0.194,1.829,1.951,-4.329,-1.991,0.162,-1.829,-1.832,12,18,DMP_WAIT
A,32635,STATIC,ALL,486,15298,3196,28,33,-74,0.030,0.934,0.195,1.707,2.012,-4.512,-1.781,0.165,-1.826,-1.830,12,19,OK
A,32658,STATIC,ALL,456,15336,3154,30,35,-74,0.028,0.936,0.193,1.829,2.134,-4.512,-1.668,0.165,-1.819,-1.822,12,23,DMP_WAIT
A,32677,STATIC,ALL,444,15300,3248,32,33,-71,0.027,0.934,0.198,1.951,2.012,-4.329,-1.626,0.165,-1.813,-1.816,12,19,DMP_WAIT
A,32696,STATIC,ALL,492,15296,3234,36,30,-68,0.030,0.934,0.197,2.195,1.829,-4.146,-1.802,0.165,-1.815,-1.818,12,19,DMP_WAIT
A,32714,STATIC,ALL,530,15330,3198,37,31,-66,0.032,0.936,0.195,2.256,1.890,-4.024,-1.938,0.163,-1.818,-1.821,12,18,OK
