record,ms,mode,target_left,target_right,speed_left_mm_s,speed_right_mm_s,pwm_left,pwm_right,raw_left,raw_right,total_left,total_right,enable
D,13975,0,0,0,0,0,0,0,0,0,4,0,1
D,13985,0,0,0,0,0,0,0,0,0,4,0,1
D,13995,0,0,0,0,0,0,0,0,0,4,0,1
D,14005,0,0,0,0,0,0,0,0,0,4,0,1
D,14015,0,0,0,0,0,0,0,0,0,4,0,1
D,14025,0,0,0,0,0,0,0,0,0,4,0,1
D,14035,0,0,0,0,0,0,0,0,0,4,0,1
D,14045,0,0,0,0,0,0,0,0,0,4,0,1
D,14055,0,0,0,0,0,0,0,0,0,4,0,1
D,14065,0,0,0,0,0,0,0,0,0,4,0,1
D,14075,0,0,0,0,0,0,0,0,0,4,0,1
D,14085,0,0,0,0,0,0,0,0,0,4,0,1
D,14095,0,0,0,0,0,0,0,0,0,4,0,1
D,14105,0,0,0,0,0,0,0,0,0,4,0,1
D,14115,0,0,0,0,0,0,0,0,0,4,0,1
D,14125,0,0,0,0,0,0,0,0,0,4,0,1
D,14135,0,0,0,0,0,0,0,0,0,4,0,1
D,14145,0,0,0,0,0,0,0,0,0,4,0,1
D,14155,0,0,0,0,0,0,0,0,0,4,0,1
D,14165,0,0,0,0,0,0,0,0,0,4,0,1
D,14175,0,0,0,0,0,0,0,0,0,4,0,1
D,14185,0,0,0,0,0,0,0,0,0,4,0,1
D,14195,0,0,0,0,0,0,0,0,0,4,0,1
D,14205,0,0,0,0,0,0,0,0,0,4,0,1
D,14215,0,0,0,0,0,0,0,0,0,4,0,1
D,14225,0,0,0,0,0,0,0,0,0,4,0,1
D,14235,0,0,0,0,0,0,0,0,0,4,0,1
D,14245,0,0,0,0,0,0,0,0,0,4,0,1
D,14255,0,0,0,0,0,0,0,0,0,4,0,1
D,14265,0,0,0,0,0,0,0,0,0,4,0,1
D,14275,0,0,0,0,0,0,0,0,0,4,0,1
D,14285,0,0,0,0,0,0,0,0,0,4,0,1
D,14295,0,0,0,0,0,0,0,0,0,4,0,1
