record,ms,state,mode,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_acc,pitch_dmp,pitch_comp,pitch_kalman,dmp_hz,dt_ms,status
A,200016,SHAKE,ALL,926,-24628,19968,451,-168,-321,0.057,-1.503,1.219,27.500,-10.244,-19.573,-50.935,3.996,5.181,5.758,12,20,DMP_WAIT
A,200036,SHAKE,ALL,1910,-4564,16254,1589,-185,-373,0.117,-0.279,0.992,96.890,-11.280,-22.744,-15.582,3.996,6.618,7.134,12,20,DMP_WAIT
A,200056,SHAKE,ALL,1732,12578,10726,1820,-124,-251,0.106,0.768,0.655,110.976,-7.561,-15.305,49.179,3.713,9.598,10.153,12,20,OK
A,200080,SHAKE,ALL,932,23984,7918,1374,9,-172,0.057,1.464,0.483,83.780,0.549,-10.488,71.612,3.713,12.754,13.390,12,24,DMP_WAIT
A,200099,SHAKE,ALL,140,29544,8164,469,88,-127,0.009,1.803,0.498,28.598,5.366,-7.744,74.551,3.713,14.478,15.210,12,19,DMP_WAIT
A,200118,SHAKE,ALL,-712,21554,9898,-680,67,-22,-0.043,1.316,0.604,-41.463,4.085,-1.341,65.278,3.713,14.678,15.497,12,19,DMP_WAIT
A,200137,SHAKE,ALL,-328,3126,13774,-1697,-28,0,-0.020,0.191,0.841,-103.476,-1.707,0.000,12.783,4.668,12.670,13.498,12,19,OK
A,200169,SHAKE,ALL,2602,-21138,17980,-2010,-144,48,0.159,-1.290,1.097,-122.561,-8.780,2.927,-49.322,4.668,7.512,8.256,12,32,DMP_WAIT
A,200188,SHAKE,ALL,2266,-32768,19988,-1169,19,139,0.138,-2.000,1.220,-71.280,1.159,8.476,-58.455,4.668,4.822,5.442,12,19,DMP_WAIT
A,200208,SHAKE,ALL,1316,-23514,20694,541,200,55,0.080,-1.435,1.263,32.988,12.195,3.354,-48.593,4.668,4.354,4.860,12,20,DMP_WAIT
A,200227,SHAKE,ALL,-630,-4342,18030,1611,223,-48,-0.038,-0.265,1.100,98.232,13.598,-2.927,-13.532,3.311,5.781,6.230,12,19,OK
