record,ms,state,mode,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pitch_acc,pitch_dmp,pitch_comp,pitch_kalman,dmp_hz,dt_ms,status
A,138411,TILT,ALL,426,7244,13168,-890,24,-63,0.026,0.442,0.804,-54.268,1.463,-3.841,28.803,12.730,28.224,30.150,13,20,DMP_WAIT
A,138431,TILT,ALL,450,6480,13482,-926,22,-68,0.027,0.396,0.823,-56.463,1.341,-4.146,25.658,12.730,27.020,28.942,13,20,DMP_WAIT
A,138451,TILT,ALL,450,5898,13354,-921,22,-70,0.027,0.360,0.815,-56.159,1.341,-4.268,23.817,12.730,25.809,27.727,13,20,DMP_WAIT
A,138471,TILT,ALL,478,5398,13610,-896,24,-66,0.029,0.329,0.831,-54.634,1.463,-4.024,21.622,11.824,24.608,26.519,13,20,OK
A,138494,TILT,ALL,396,5164,13672,-850,26,-66,0.024,0.315,0.834,-51.829,1.585,-4.024,20.684,11.824,23.308,25.217,13,23,DMP_WAIT
A,138513,TILT,ALL,546,4916,13806,-809,25,-69,0.033,0.300,0.843,-49.329,1.524,-4.207,19.586,11.824,22.271,24.170,13,19,DMP_WAIT
A,138532,TILT,ALL,300,4548,13926,-771,25,-66,0.018,0.278,0.850,-47.012,1.524,-4.024,18.082,10.974,21.268,23.155,13,19,OK
A,138564,TILT,ALL,558,4906,14258,-715,26,-65,0.034,0.299,0.870,-43.598,1.585,-3.963,18.974,10.974,19.781,21.681,13,32,DMP_WAIT
A,138583,TILT,ALL,428,4096,13996,-728,28,-66,0.026,0.250,0.854,-44.390,1.707,-4.024,16.305,10.974,18.841,20.728,13,19,DMP_WAIT
A,138602,TILT,ALL,464,3618,14436,-716,25,-69,0.028,0.221,0.881,-43.659,1.524,-4.207,14.063,10.974,17.888,19.759,13,19,DMP_WAIT
A,138621,TILT,ALL,464,3618,14436,-716,25,-69,0.028,0.221,0.881,-43.659,1.524,-4.207,14.063,10.191,16.955,18.810,12,19,OK
A,138645,TILT,ALL,456,4190,14588,-668,23,-67,0.028,0.256,0.890,-40.732,1.402,-4.085,16.018,10.191,15.923,17.775,12,24,DMP_WAIT
A,138664,TILT,ALL,612,3886,14444,-705,24,-64,0.037,0.237,0.882,-42.988,1.463,-3.902,15.045,10.191,15.061,16.902,12,19,DMP_WAIT
A,138683,TILT,ALL,350,3138,14660,-749,26,-67,0.021,0.192,0.895,-45.671,1.585,-4.085,12.079,10.191,14.107,15.933,12,19,DMP_WAIT
A,138702,TILT,ALL,544,2498,14644,-753,25,-69,0.033,0.152,0.894,-45.915,1.524,-4.207,9.674,9.374,13.119,14.928,12,19,OK
